Name,Link,Description
UP's youth will no longer need to migrate: CM Yogi ...,https://timesofindia.indiatimes.com/city/lucknow/cm-ups-youth-will-no-longer-need-to-migrate/articleshow/104480960.cms,"17-Oct-2023 — The CM insisted that when the youth are prosperous, society will be happy, and when society is happy, the state will propel towards prosperity."
CM Yogi Adityanath promises jobs for 2 crore UP youths in ...,https://timesofindia.indiatimes.com/city/lucknow/cm-yogi-adityanath-promises-jobs-for-2-crore-up-youths-in-3-4-years/articleshow/98437115.cms,06-Mar-2023 — Chief Minister Yogi Adityanath on Sunday said that the state government will be able to connect over two crore youth of the state with jobs ...
Youth are the future policy makers : Yogi,https://www.dailyexcelsior.com/youth-are-the-future-policy-makers-yogi/,19-Aug-2023 — “Swami Vivekananda aimed to enhance India's reputation and lived for only 39 years. Swami Pranavananda's lifespan was limited to 42 years. Even ...
Uttar Pradesh govt's focus on skill development of youth,https://www.hindustantimes.com/cities/lucknow-news/chief-minister-yogi-adityanath-prioritizes-youth-skill-development-at-samsung-innovation-campus-convocation-ceremony-101683911740624.html,12-May-2023 — Chief minister Yogi Adityanath on Friday said skill development of youth is a key priority of the Uttar Pradesh government.
Yogi Adityanath: Time to decide if youth be given computer ...,https://m.timesofindia.com/city/lucknow/time-to-decide-if-youth-be-given-computer-or-a-tamancha-up-cm-yogi-adityanath/articleshow/99728491.cms,24-Apr-2023 — Time to decide if youth be given computer or 'tamancha': UP CM Yogi Adityanath. Uttar Pradesh chief minister Yogi Adityanath on Monday said ...
Uttar Pradesh: Over 2 crore youths to get jobs in next 4 years ...,https://www.livemint.com/news/india/uttar-pradesh-over-20-million-youths-to-get-jobs-in-next-4-years-says-yogi-adityanath-11678059928764.html,"06-Mar-2023 — Uttar Pradesh government is looking to generate employment for nearly 20 millions youths in the next 3-4 years, according to the Uttar ..."
Over 2 crore youths will get jobs in next 3-4 years: U.P. CM ...,https://www.thehindu.com/news/national/other-states/over-2-crore-youths-will-get-jobs-in-next-3-4-years-up-cm-adityanath/article66586238.ece,"06-Mar-2023 — Yogi Adityanath said by developing the skills of U.P.'s youth, the State can play the role of the growth engine of the country's economy."
"Yogi: Intoxication leads to destruction, decline of youth",https://m.timesofindia.com/city/lucknow/yogi-intoxication-leads-to-destruction-decline-of-youth/articleshow/102688358.cms,"13-Aug-2023 — The CM said youth should be nurturing dreams for a better future but if they become addicted to intoxication, it renders them hollow from within ..."
UP government announces two new youth-centric schemes,https://economictimes.indiatimes.com/news/politics-and-nation/up-government-announces-two-new-youth-centric-schemes/articleshow/74189494.cms,"18-Feb-2020 — Under the scheme, students will not only be provided training but also be given a stipend."
Sports Minister Anurag Thakur & UP CM Yogi Adityanath ...,https://newsonair.gov.in/News?title=Uttar-Pradesh-CM-Yogi-Adityanath-and-Union-Minister-Anurag-Thakur-inaugurates-Youth-20-Summit&id=466299,18-Aug-2023 — Union Minister for Youth Affairs and Sports Anurag Singh Thakur and Uttar Pradesh Chief Minister Yogi Adityanath on 18th August 2023 jointly ...
Yogi Adityanath,https://en.wikipedia.org/wiki/Yogi_Adityanath,"In July 2021, Adityanath introduced the UP population control draft bill 2021–2030. On the event of World Population Day, the chief minister unveiled the policy ..."
The fall and rise of India's Yogi Adityanath | Features,https://www.aljazeera.com/features/2017/6/27/the-fall-and-rise-of-indias-yogi-adityanath,"27-Jun-2017 — Within weeks of the Gujarat violence, Adityanath announced the formation of an organisation known as Hindu Yuva Vahini (HYV) or Vehicle for ..."
"Retired officers, senior educationists will introduce youth to ...",https://www.thestatesman.com/india/retired-officers-senior-educationists-will-introduce-youth-to-employment-policies-of-up-govt-1503151346.html,"31-Jan-2023 — ... with the youth in different universities and colleges, answer their queries related to employment, said Chief Minister Yogi Adityanath."
"::Official Website of Sports Directorate, Uttar Pradesh,India::",https://upsports.gov.in/sportsdirectorate/,Yogi Adityanath. Hon'ble Chief Minister Government of Uttar Pradesh. Shri Girish Chandra Yadav. Minister of State (Independent Charge)
Uttar Pradesh CM Yogi Adityanath and Union Minister Anurag ...,https://newsonair.com/2023/08/18/uttar-pradesh-cm-yogi-adityanath-and-union-minister-anurag-singh-thakur-inaugurates-youth-20-summit-2023/,18-Aug-2023 — Uttar Pradesh Chief Minister Yogi Adityanath and Union Minister for Youth Affairs and Sports Anurag Singh Thakur today jointly inaugurated ...
CM Yogi Adityanath promises jobs for 2 crore UP youths ...,https://invest.up.gov.in/wp-content/uploads/2023/03/CM-Yogi_060323.pdf,06-Mar-2023 — LUCKNOW: Chief Minister Yogi Adityanath on Sunday said that the state government will be able to connect over two crore youth of the state ...
Youths will be benefitted most from GIS: CM Yogi Adityanath,https://theprint.in/india/youths-will-be-benefitted-most-from-gis-cm-yogi-adityanath/1345926/,"31-Jan-2023 — Lucknow (Uttar Pradesh) [India], January 31 (ANI): Chief Minister Yogi Adityanath, who is making planned efforts for the employment of youth ..."
LIVE: Y20 India Summit Inaugural at Varanasi | YASMinistry,https://m.facebook.com/yasministry/videos/-live-y20-india-summit-inaugural-at-varanasi-yasministry-myas-g20india-y20india-/811070487410742/,
Yogi's mission to strengthen the youth,https://avenuemail.in/yogis-mission-to-strengthen-the-youth/,10-Feb-2021 — Uttar Pradesh Chief Minister Yogi Adityanath has started drawing a new blueprint to channelize the energy of the youth in state-development ...
